Framework,Stage,Lines
Pytorch,install,1
Pytorch,imports,7
Pytorch,load,10
Pytorch,view,10
Pytorch,initialise,12
Pytorch,hyperparameters/compile,2
Pytorch,training,41
Pytorch,visualise,17
Pytorch,evaluate,11
Tensorflow,install,1
Tensorflow,imports,3
Tensorflow,load,10
Tensorflow,view,11
Tensorflow,initialise,14
Tensorflow,hyperparameters/compile,4
Tensorflow,training,47
Tensorflow,visualise,17
Tensorflow,evaluate,9
Keras,install,1
Keras,imports,5
Keras,load,5
Keras,view,11
Keras,initialise,6
Keras,hyperparameters/compile,3
Keras,training,4
Keras,visualise,17
Keras,evaluate,2